Inputs,1,2,3,4,5,7
Flow,Row,AvailData,CN,flow_promoted,upi_cmp,Final Map
RFO/RFO_PREF MAP,1,0,0,0,0,SF
RFO/RFO_PREF MAP,2,0,0,0,1,SF
RFO/RFO_PREF MAP,3,0,0,1,0,SF
RFO/RFO_PREF MAP,4,0,0,1,1,DWAY
RFO/RFO_PREF MAP,5,0,1,0,0,SF
RFO/RFO_PREF MAP,6,0,1,0,1,SF
RFO/RFO_PREF MAP,7,0,1,1,0,DWAY
RFO/RFO_PREF MAP,8,0,1,1,1,DWAY
RFO/RFO_PREF MAP,9,1,0,0,0,SF
RFO/RFO_PREF MAP,10,1,0,0,1,SF
RFO/RFO_PREF MAP,11,1,0,1,0,SF
RFO/RFO_PREF MAP,12,1,0,1,1,DWAY
RFO/RFO_PREF MAP,13,1,1,0,0,DWAY
RFO/RFO_PREF MAP,14,1,1,0,1,DWAY
RFO/RFO_PREF MAP,15,1,1,1,0,DWAY
RFO/RFO_PREF MAP,16,1,1,1,1,DWAY
