Inputs,1,2,3,4,5,7,8,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,24,27,28,Expected Interfaces,output from Cpipe,24,25,28,29,30,input to Cpipe,32,33,36,37,38
Flow Section,Row Number,Row Enable ,Flow ,Bubble,Sad,Curr Opcode,Snoop response,LLC State,CV,Map,MonHit,CN,AvailData,SelfSnoop,SnoopConflict,FwdCnfltO,FreeInvWay,HadReject,CleanEvict,DeadDBP,ReqCV,SRP_en,SRP_HR_Fill,HadBogus,Pref_Promotion,MiscCondition,Next Bubble,IDI_U2C_REQ,IDI_U2C_RSP,IDI_U2C_DATA,UXI_C2U_REQ,UXI_C2U_DATA,UXI_C2U_RSP,CPIPE_REQ,IDI_C2U_RSP,IDI_C2U_DATA,UXI_U2C_REQ,UXI_U2C_RSP,UXI_U2C_DATA
First Pass,1,1,CLDemote,first,HOM,CLDemote,X,I,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,had_cv_err=0,a,0,0,0,0,0,0,X,0,0,0,0,0
First Pass,2,1,CLDemote,first,HOM,CLDemote,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,X,X,X,X,had_cv_err=0,a,0,0,0,0,0,0,X,0,0,0,0,0
First Pass,3,1,CLDemote,first,HOM,CLDemote,X,X,X,X,X,X,0,X,X,X,X,X,X,X,X,X,X,X,X,had_cv_err=0,a,0,0,0,0,0,0,X,0,0,0,0,0
LLC Hit No Snp,4,1,CLDemote,a,X,CLDemote,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,done,0,GO(core_logic_id),0,0,0,0,X,0,0,0,0,0
First Pass,5,1,CLDemote,first,HOM,CLDemote,X,!LLC_I,X,X,X,X,1,X,X,X,X,X,X,X,1,X,X,X,X,had_cv_err=0,b,0,0,0,0,0,0,X,0,0,0,0,0
Snoop Flow,6,1,CLDemote,b ,X,CLDemote,RspI/RspIHitFSE/RspIHitI/RspSI/RspFlushed,X,1,SF,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,e,snoop(cv_vector),0,0,0,0,0,SNP_RSP,snoop_response(cv_vector),snoop_response_data(only_from_cv_vector),0,0,0
Snoop Flow,7,1,CLDemote,e,X,SNP_RSP,X,E,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,"EvctClnThrottle=0, ParitalMonitorHit=0",done,0,GO(core_logic_id),0,EvctCln,0,0,X,0,0,0,CmpU,0
Snoop Flow,8,1,CLDemote,e,X,SNP_RSP,X,S,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,"EvctClnThrottle=0, ParitalMonitorHit=0",done,0,GO(core_logic_id),0,EvctShrd,0,0,X,0,0,0,CmpU,0
Snoop Flow,9,1,CLDemote,e,X,SNP_RSP,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,"EvctClnThrottle=1, ParitalMonitorHit=1",done,0,GO(core_logic_id),0,0,0,0,X,0,0,0,0,0
Snoop Flow,10,1,CLDemote,e,X,SNP_RSP,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,"EvctClnThrottle=1, ParitalMonitorHit=0",done,0,GO(core_logic_id),0,0,0,0,X,0,0,0,0,0
Snoop Flow,11,1,CLDemote,e,X,SNP_RSP,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,"EvctClnThrottle=0, ParitalMonitorHit=1",done,0,GO(core_logic_id),0,0,0,0,X,0,0,0,0,0
Snoop Flow,12,1,CLDemote,b ,X,CLDemote,RspI/RspIHitFSE/RspIHitI/RspSI/RspFlushed,X,X,D,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,c,snoop(cv_vector),0,0,0,0,0,SNP_RSP,snoop_response(cv_vector),snoop_response_data(only_from_cv_vector),0,0,0
Snoop Flow,13,1,CLDemote,b ,X,CLDemote,RspI/RspIHitFSE/RspIHitI/RspSI/RspFlushed,X,>1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,had_cv_err=0,c,snoop(cv_vector),0,0,0,0,0,SNP_RSP,snoop_response(cv_vector),snoop_response_data(only_from_cv_vector),0,0,0
Snoop Flow,14,1,CLDemote,c,X,SNP_RSP,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,done,0,GO(core_logic_id),0,0,0,0,X,0,0,0,0,0
Snoop Flow,15,1,CLDemote,b ,X,CLDemote,RspIFwdFE,X,X,SF,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,d ,snoop(cv_vector),0,0,0,0,0,SNP_RSP,snoop_response(cv_vector),snoop_response_data(only_from_cv_vector),0,0,0
Snoop Flow,16,1,CLDemote,b ,X,CLDemote,RspIFwdMO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,d ,snoop(cv_vector),0,0,0,0,0,SNP_RSP,snoop_response(cv_vector),snoop_response_data(only_from_cv_vector),0,0,0
Snoop Flow,17,1,CLDemote,d,X,SNP_RSP,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,done,0,GO(core_logic_id),0,0,0,0,X,0,0,0,0,0
First Pass – had CV err,18,1,CLDemote,first,HOM,CLDemote,X,X,>1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,had_cv_err=1,a,0,0,0,0,0,0,X,0,0,0,0,0
