Inputs,1,2,3,4,5,7,8,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,24,27,28,Expected Interfaces,output from Cpipe,24,25,28,29,30,input to Cpipe,32,33,36,37,38
Flow Section,Row Number,Row Enable ,Flow ,Bubble,Sad,Curr Opcode,Snoop response,LLC State,CV,Map,MonHit,CN,AvailData,SelfSnoop,SnoopConflict,FwdCnfltO,FreeInvWay,HadReject,CleanEvict,DeadDBP,ReqCV,SRP_en,SRP_HR_Fill,HadBogus,Pref_Promotion,MiscCondition,Next Bubble,IDI_U2C_REQ,IDI_U2C_RSP,IDI_U2C_DATA,UXI_C2U_REQ,UXI_C2U_DATA,UXI_C2U_RSP,CPIPE_REQ,IDI_C2U_RSP,IDI_C2U_DATA,UXI_U2C_REQ,UXI_U2C_RSP,UXI_U2C_DATA
First Pass - Miss case,1,1,CLWB,first,X,CLWB,X,I,X,X,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,r,0,0,0,0,0,0,X,0,0,0,0,0
No Flush To Memory,2,1,CLWB,r,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,s,0,FastGo(core_logic_id),0,InvXtoI,0,0,SI_CmpO,0,0,0,SI_CmpO,0
No Flush To Memory,3,1,CLWB,s,X,SI_CmpO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,done,0,ExtCmp(core_logic_id),0,0,0,0,X,0,0,0,0,0
First Pass - ownership no snoop,4,1,CLWB,first,X,CLWB,X,S,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,write_back,0,0,0,0,0,0,X,0,0,0,0,0
First Pass - ownership no snoop,5,1,CLWB,first,X,CLWB,X,I,X,X,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,write_back,0,0,0,0,0,0,X,0,0,0,0,0
First Pass - ownership no snoop,6,1,CLWB,first,X,CLWB,X,M/E,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,had_cv_err=0,write_back,0,0,0,0,0,0,X,0,0,0,0,0
First Pass - ownership no snoop,7,1,CLWB,first,X,CLWB,X,M/E,>1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,had_cv_err=0,write_back,0,0,0,0,0,0,X,0,0,0,0,0
First Pass - ownership no snoop,8,1,CLWB,first,X,CLWB,X,M/E,>1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,had_cv_err=1,f,0,0,0,0,0,0,X,0,0,0,0,0
write back,9,1,CLWB,write_back,X,X,X,E/S,>0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,a,0,0,0,0,0,0,X,0,0,0,0,0
write back,10,1,CLWB,write_back,X,X,X,E/S,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,EvctClnThrottle=1,a,0,0,0,0,0,0,X,0,0,0,0,0
write back,11,1,CLWB,write_back,X,X,X,E/S,X,D,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,a,0,0,0,0,0,0,X,0,0,0,0,0
write back,12,1,CLWB,write_back,X,X,X,E/S/I,X,X,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,a,0,0,0,0,0,0,X,0,0,0,0,0
No modefied data,13,1,CLWB,a,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,done,0,FastGo_ExtCmp(core_logic_id),0,0,0,0,X,0,0,0,0,0
write back,14,1,CLWB,write_back,X,X,X,E/S,0,SF,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,EvctClnThrottle=0,b,0,0,0,0,0,0,X,0,0,0,0,0
Write back - clean evict ,15,1,CLWB,b,X,X,X,E,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,done,0,FastGo_ExtCmp(core_logic_id),0,EvctCln,0,0,X,0,0,0,CmpU,0
