Inputs,1,2,3,4,5,7,8,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,24,27,28,Expected Interfaces,output from Cpipe,24,25,28,29,30,input to Cpipe,32,33,36,37,38
Flow Section,Row Number,Row Enable ,Flow ,Bubble,Sad,Curr Opcode,Snoop response,LLC State,CV,Map,MonHit,CN,AvailData,SelfSnoop,SnoopConflict,FwdCnfltO,FreeInvWay,HadReject,CleanEvict,DeadDBP,ReqCV,SRP_en,SRP_HR_Fill,HadBogus,Pref_Promotion,MiscCondition,Next Bubble,IDI_U2C_REQ,IDI_U2C_RSP,IDI_U2C_DATA,UXI_C2U_REQ,UXI_C2U_DATA,UXI_C2U_RSP,CPIPE_REQ,IDI_C2U_RSP,IDI_C2U_DATA,UXI_U2C_REQ,UXI_U2C_RSP,UXI_U2C_DATA
First Pass,1,1,FsRdCurr/FsRdCurrPtl,first,HOM,FsRdCurr/FsRdCurrPtl,X,S,X,D,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,a,0,0,0,0,0,0,X,0,0,0,0,0
First Pass,2,1,FsRdCurr/FsRdCurrPtl,first,HOM,FsRdCurr/FsRdCurrPtl,X,E/M,!1,D,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,a,0,0,0,0,0,0,X,0,0,0,0,0
Hit,3,1,FsRdCurr/FsRdCurrPtl,a,HOM,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,Done,0,,data(core_logic_id),0,0,0,X,0,0,0,0,0
First Pass,4,1,FsRdCurr/FsRdCurrPtl,first,HOM,FsRdCurr/FsRdCurrPtl,X,I,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,read_mem,0,0,0,0,0,0,X,0,0,0,0,0
First Pass,5,1,FsRdCurr/FsRdCurrPtl,first,HOM,FsRdCurr/FsRdCurrPtl,X,X,0,SF,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,read_mem,0,0,0,0,0,0,X,0,0,0,0,0
Read_Mem,6,1,FsRdCurr/FsRdCurrPtl,read_mem,HOM,FsRdCurr/FsRdCurrPtl,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,l,0,0,0,0,0,0,X,0,0,0,0,0
Read_Mem,7,1,FsRdCurr/FsRdCurrPtl,read_mem,HOM,FsRdCurr/FsRdCurrPtl,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,l,0,0,0,0,0,0,X,0,0,0,0,0
Read_Mem,8,1,FsRdCurr/FsRdCurrPtl,l,HOM,UPI Read,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,Done,0,0,data(core_logic_id),0,0,0,SI_CmpO,0,0,RdCurr,SI_CmpO,data
Read_Mem,9,1,FsRdCurr/FsRdCurrPtl,read_mem,HOM,FsRdCurr/FsRdCurrPtl,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,j,0,0,0,0,0,0,X,0,0,0,0,0
Read_Mem,10,1,FsRdCurr/FsRdCurrPtl,j,HOM,UPI_InvXtoI,X,X,X,X,X,1,1,X,X,X,X,X,X,X,X,X,X,X,X,X,m,0,0,0,0,0,0,SI_CmpO,0,0,InvXtoI,SI_CmpO,0
Read_Mem,11,1,FsRdCurr/FsRdCurrPtl,m,HOM,CXM_MemRd,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,n,0,0,0,0,0,0,GO,0,0,0,0,0
