Inputs,1,2,3,4,5,7,8,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,24,27,28,Expected Interfaces,output from Cpipe,24,25,28,29,30,input to Cpipe,32,33,36,37,38
Flow Section,Row Number,Row Enable ,Flow ,Bubble,Sad,Curr Opcode,Snoop response,LLC State,CV,Map,MonHit,CN,AvailData,SelfSnoop,SnoopConflict,FwdCnfltO,FreeInvWay,HadReject,CleanEvict,DeadDBP,ReqCV,SRP_en,SRP_HR_Fill,HadBogus,Pref_Promotion,MiscCondition,Next Bubble,IDI_U2C_REQ,IDI_U2C_RSP,IDI_U2C_DATA,UXI_C2U_REQ,UXI_C2U_DATA,UXI_C2U_RSP,CPIPE_REQ,IDI_C2U_RSP,IDI_C2U_DATA,UXI_U2C_REQ,UXI_U2C_RSP,UXI_U2C_DATA
First Pass,1,1,ItoMWr/ItoMWtr_NS,first,HOM,ItoMWr/ItoMWr_NS,X,E/M,0,X,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,a,0,0,0,0,0,0,X,0,0,0,0,0
LLCHIT No Snoop,2,1,ItoMWr/ItoMWtr_NS,a,HOM,X,X,X,X,X,X,X,1,X,X,X,X,X,X,X,X,X,X,X,X,X,b,0,GO_WritePull(core_logic_id),0,0,0,0,NO_RSP,0,data(core_logic_id),0,0,0
LLCHIT No Snoop,3,1,ItoMWr/ItoMWtr_NS,a,HOM,X,X,X,X,X,X,X,0,X,X,X,X,X,X,X,X,X,X,X,X,X,c,0,GO_WritePull(core_logic_id),0,0,0,0,NO_RSP,0,data(core_logic_id),0,0,0
LLCHIT No Snoop,4,1,ItoMWr/ItoMWtr_NS,a,HOM,X,X,X,X,X,X,X,0,X,X,X,X,X,X,X,X,X,X,X,X,X,d,0,GO_WritePull(core_logic_id),0,0,0,0,NO_RSP,0,data(core_logic_id),0,0,0
LLCHIT No Snoop,5,1,ItoMWr/ItoMWtr_NS,b,HOM,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,Done,0,0,0,0,0,0,X,0,0,0,0,0
Evict,6,1,ItoMWr/ItoMWtr_NS,c,HOM,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,Done,0,0,0,0,0,0,X,0,0,0,0,0
Evict,7,1,ItoMWr/ItoMWtr_NS,d,HOM,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,Done,0,0,0,0,WbMtoI,0,X,0,0,0,CmpU,0
First Pass,8,1,ItoMWr/ItoMWtr_NS,first,HOM,ItoMWr/ItoMWr_NS,X,S/E/M,>0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,e,0,0,0,0,0,0,X,0,0,0,0,0
First Pass,9,1,ItoMWr/ItoMWtr_NS,first,HOM,ItoMWr/ItoMWr_NS,X,X,X,X,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,e,0,0,0,0,0,0,X,0,0,0,0,0
Snoop,10,1,ItoMWr/ItoMWtr_NS,e,HOM,X,X,E/M,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,a,snoop(cv_vector),0,0,0,0,0,SNP_RSP,snoop_response(cv_vector),snoop_response_data(only_from_cv_vector),0,0,0
Snoop,11,1,ItoMWr/ItoMWtr_NS,e,HOM,X,X,S/I,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,a,snoop(cv_vector),0,0,0,0,0,SNP_RSP,snoop_response(cv_vector),snoop_response_data(only_from_cv_vector),0,0,0
Snoop,12,1,ItoMWr/ItoMWtr_NS,e,HOM,X,X,S/I,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,f,snoop(cv_vector),0,0,0,0,0,SNP_RSP,snoop_response(cv_vector),snoop_response_data(only_from_cv_vector),0,0,0
Snoop,13,1,ItoMWr/ItoMWtr_NS,e,HOM,X,X,S/I,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,f,snoop(cv_vector),0,0,0,0,0,SNP_RSP,snoop_response(cv_vector),snoop_response_data(only_from_cv_vector),0,0,0
Snoop,14,1,ItoMWr/ItoMWtr_NS,e,HOM,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,r,snoop(cv_vector),0,0,0,0,0,SNP_RSP,snoop_response(cv_vector),snoop_response_data(only_from_cv_vector),0,0,0
Snoop,15,1,ItoMWr/ItoMWtr_NS,r,HOM,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,a,0,0,0,InvXtoI,0,0,X,0,0,0,SI_CmpO,0
Snoop,16,1,ItoMWr/ItoMWtr_NS,f,HOM,SNP_RSP,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,g,0,0,0,InvItoM,0,0,E_CmpO,0,0,0,E_CmpO,0
Snoop,17,1,ItoMWr/ItoMWtr_NS,g,HOM,E_CmpO,X,X,X,X,X,X,1,X,X,X,X,X,X,X,X,X,X,X,X,X,h,0,GO_WritePull(core_logic_id),0,0,0,0,NO_RSP,0,data(core_logic_id),0,0,0
Snoop,18,1,ItoMWr/ItoMWtr_NS,g,HOM,E_CmpO,X,X,X,X,X,X,0,X,X,X,X,X,X,X,X,X,X,X,X,X,I,0,GO_WritePull(core_logic_id),0,0,0,0,NO_RSP,0,data(core_logic_id),0,0,0
Snoop,19,1,ItoMWr/ItoMWtr_NS,h,HOM,NO_RSP,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,Done,0,0,0,0,0,0,X,0,0,0,0,0
Snoop,20,1,ItoMWr/ItoMWtr_NS,I,HOM,NO_RSP,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,Done,0,0,0,0,WbMtoI,0,X,0,0,0,CmpU,0
First Pass,21,1,ItoMWr/ItoMWtr_NS,first,HOM,ItoMWr/ItoMWr_NS/SNP_RSP,X,LLC_I,X,X,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,llc_miss,0,0,0,0,0,0,X,0,0,0,0,0
First Pass,22,1,ItoMWr/ItoMWtr_NS,first,HOM,ItoMWr/ItoMWr_NS/SNP_RSP,X,LLC_S,0,X,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,llc_miss,0,0,0,0,0,0,X,0,0,0,0,0
Read_Mem,23,1,ItoMWr/ItoMWtr_NS,llc_miss,HOM,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,j,0,0,0,0,0,0,X,0,0,0,0,0
Read_Mem,24,1,ItoMWr/ItoMWtr_NS,j,HOM,X,X,X,X,X,X,X,0,X,X,X,X,X,X,X,X,X,X,X,X,X,l,0,GO_WritePull(core_logic_id),0,0,0,0,NO_RSP,0,data(core_logic_id),0,0,0
Read_Mem,25,1,ItoMWr/ItoMWtr_NS,j,HOM,X,X,X,X,X,X,X,1,X,X,X,X,X,X,X,X,X,X,X,X,X,k,0,GO_WritePull(core_logic_id),0,0,0,0,NO_RSP,0,data(core_logic_id),0,0,0
Read_Mem,26,1,ItoMWr/ItoMWtr_NS,l,HOM,NO_RSP,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,Done,0,0,0,0,0,0,X,0,0,0,0,0
Read_Mem,27,1,ItoMWr/ItoMWtr_NS,k,HOM,NO_RSP,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,Done,0,0,0,0,0,0,X,0,0,0,0,0
Read_Mem,28,1,ItoMWr/ItoMWtr_NS,llc_miss,HOM,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,n,0,0,0,0,0,0,X,0,0,0,0,0
Read_Mem,29,1,ItoMWr/ItoMWtr_NS,llc_miss,HOM,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,n,0,0,0,0,0,0,X,0,0,0,0,0
Read_Mem,30,1,ItoMWr/ItoMWtr_NS,n,HOM,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,o,0,0,0,InvItoM,0,0,E_CmpO,0,0,0,E_CmpO,0
Read_Mem,31,1,ItoMWr/ItoMWtr_NS,llc_miss,HOM,X,x,X,x,x,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,m,0,0,0,0,0,0,X,0,0,0,0,0
Read_Mem,32,1,ItoMWr/ItoMWtr_NS,m,HOM,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,j,0,0,0,InvXtoI,0,0,SI_CmpO,0,0,0,SI_CmpO,0
Read_Mem,33,1,ItoMWr/ItoMWtr_NS,o,HOM,E_CmpO,X,X,X,X,X,X,1,X,X,X,X,X,X,X,X,X,X,X,X,X,p,0,GO_WritePull(core_logic_id),0,0,0,0,NO_RSP,0,data(core_logic_id),0,0,0
Read_Mem,34,1,ItoMWr/ItoMWtr_NS,o,HOM,E_CmpO,X,X,X,X,X,X,0,X,X,X,X,X,X,X,X,X,X,X,X,X,q,0,GO_WritePull(core_logic_id),0,0,0,0,NO_RSP,0,data(core_logic_id),0,0,0
Read_Mem,35,1,ItoMWr/ItoMWtr_NS,p,HOM,NO_RSP,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,Done,0,0,0,0,0,0,X,0,0,0,0,0
Read_Mem,36,1,ItoMWr/ItoMWtr_NS,q,HOM,NO_RSP,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,Done,0,0,0,0,WbMtoI,0,X,0,0,0,CmpU,0
