Inputs,1,2,3,4,5,7,8,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,24,27,28,Expected Interfaces,output from Cpipe,24,25,28,29,30,input to Cpipe,32,33,36,37,38
Flow Section,Row Number,Row Enable ,Flow ,Bubble,Sad,Curr Opcode,Snoop response,LLC State,CV,Map,MonHit,CN,AvailData,SelfSnoop,SnoopConflict,FwdCnfltO,FreeInvWay,HadReject,CleanEvict,DeadDBP,ReqCV,SRP_en,SRP_HR_Fill,HadBogus,Pref_Promotion,MiscCondition,Next Bubble,IDI_U2C_REQ,IDI_U2C_RSP,IDI_U2C_DATA,UXI_C2U_REQ,UXI_C2U_DATA,UXI_C2U_RSP,CPIPE_REQ,IDI_C2U_RSP,IDI_C2U_DATA,UXI_U2C_REQ,UXI_U2C_RSP,UXI_U2C_DATA
First Pass,1,1,LLCPrefData/LLCPrefCode/LLCPrefRFO,first,HOM,LLCPrefData/LLCPrefCode/LLCPrefRFO,X,!LLC_I,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,a,0,0,0,0,0,0,X,0,0,0,0,0
First Pass,2,1,LLCPrefData/LLCPrefCode/LLCPrefRFO,first,HOM,LLCPrefData/LLCPrefCode/LLCPrefRFO,X,LLC_I,X,X,X,X,0,X,X,X,X,X,X,X,X,X,X,X,X,X,a,0,0,0,0,0,0,X,0,0,0,0,0
First Pass,3,1,LLCPrefData/LLCPrefCode/LLCPrefRFO,first,HOM,LLCPrefData/LLCPrefCode/LLCPrefRFO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,TorOccupAboveTH,a,0,0,0,0,0,0,X,0,0,0,0,0
LLC Hit,4,1,LLCPrefData/LLCPrefCode/LLCPrefRFO,a,HOM,LLCPrefData/LLCPrefCode/LLCPrefRFO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,done,0,GO(core_logic_id),0,0,0,0,X,0,0,0,0,0
First Pass,5,1,LLCPrefData/LLCPrefCode/LLCPrefRFO,first,HOM,LLCPrefData/LLCPrefCode/LLCPrefRFO,X,LLC_I,X,X,X,X,1,X,X,X,X,X,X,X,X,X,X,X,X,"TorOccupBelowTH, prefetch_elimination=1",a,0,0,0,0,0,0,X,0,0,0,0,0
First Pass,6,1,LLCPrefData/LLCPrefCode/LLCPrefRFO,first,HOM,LLCPrefData/LLCPrefCode/LLCPrefRFO,X,LLC_I,X,X,X,X,1,X,X,X,X,X,X,X,X,X,X,X,X,"TorOccupBelowTH, prefetch_elimination=0",g,0,0,0,0,0,0,X,0,0,0,0,0
LLC Miss,7,1,LLCPrefCode,g,HOM,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,X,h,0,GO(core_logic_id),0,RdCodeLP,0,0,SI_CmpO,0,0,0,SI_CmpO,data
LLC Miss,8,1,LLCPrefData,g,HOM,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,X,h,0,GO(core_logic_id),0,RdDataMigLP,0,0,M_CmpO/E_CmpO/SI_CmpO,0,0,0,M_CmpO/E_CmpO/SI_CmpO,data
LLC Miss,9,1,LLCPrefRFO,g,HOM,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,X,h,0,GO(core_logic_id),0,RdInvOwnLP,0,0,M_CmpO/E_CmpO,0,0,0,M_CmpO/E_CmpO,data
LLC Miss,10,1,LLCPrefData/LLCPrefCode/LLCPrefRFO,h,HOM,SI_CmpO/E_CmpO/M_CmpO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,X,done,0,0,0,0,0,0,X,0,0,0,0,0
Promotion,11,1,LLCPrefCode,g,HOM,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1,X,done,0,GO(core_logic_id),0,RdCodeLP,0,0,X,0,0,0,SI_CmpO,data
Promotion,12,1,LLCPrefData,g,HOM,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1,X,done,0,GO(core_logic_id),0,RdDataMigLP,0,0,X,0,0,0,M_CmpO/E_CmpO/SI_CmpO,data
Promotion,13,1,LLCPrefRFO,g,HOM,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1,X,done,0,GO(core_logic_id),0,RdInvOwnLP,0,0,X,0,0,0,M_CmpO/E_CmpO,data
