Inputs,1,2,3,4,5,7,8,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,24,27,28,Expected Interfaces,output from Cpipe,24,25,28,29,30,input to Cpipe,32,33,36,37,38
Flow Section,Row Number,Row Enable ,Flow ,Bubble,Sad,Curr Opcode,Snoop response,LLC State,CV,Map,MonHit,CN,AvailData,SelfSnoop,SnoopConflict,FwdCnfltO,FreeInvWay,HadReject,CleanEvict,DeadDBP,ReqCV,SRP_en,SRP_HR_Fill,HadBogus,Pref_Promotion,MiscCondition,Next Bubble,IDI_U2C_REQ,IDI_U2C_RSP,IDI_U2C_DATA,UXI_C2U_REQ,UXI_C2U_DATA,UXI_C2U_RSP,CPIPE_REQ,IDI_C2U_RSP,IDI_C2U_DATA,UXI_U2C_REQ,UXI_U2C_RSP,UXI_U2C_DATA
First Pass,1,1,LLCWBInv,first,X,WbInvd,X,M,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,!Flusher,b,0,0,0,0,0,0,X,0,0,0,0,0
Write Back,2,1,LLCWBInv,b ,X,WbInvd,X,X,X,X,X,X,X,X,X,X,x,X,X,X,X,X,X,X,X,X,c,0,FastGO(core_logic_id),0,0,WbMtoI,0,CmpU,0,0,0,CmpU,0
Write Back,3,1,LLCWBInv,c,X,CmpU,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,done,0,ExtCmp(core_logic_id),0,0,0,0,X,0,0,0,0,0
First Pass,4,1,LLCWBInv,first,X,WbInvd,X,E/S/I,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,!Flusher,a,0,0,0,0,0,0,X,0,0,0,0,0
Write Back,5,1,LLCWBInv,a,X,WbInvd,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,done,0,FASTGO_ExtCmp(core_logic_id),0,0,0,0,X,0,0,0,0,0
First Pass,6,1,LLCWBInv,first,X,WbInvd,X,X,>0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,!Flusher,f,0,0,0,0,0,0,X,0,0,0,0,0
Snoop Flow,7,1,LLCWBInv,f ,X,X,Rsp.*FwdMO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,j,snoop(cv_vector),0,0,0,0,0,SNP_RSP,snoop_response(cv_vector),snoop_response_data(only_from_cv_vector),0,0,0
Snoop Flow,8,1,LLCWBInv,f ,X,X,X,M,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,j,snoop(cv_vector),0,0,0,0,0,SNP_RSP,snoop_response(cv_vector),snoop_response_data(only_from_cv_vector),0,0,0
Snoop Flow,9,1,LLCWBInv,j,X,SNP_RSP,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,k,0,FastGO(core_logic_id),0,0,WbMtoI,0,CmpU,0,0,0,CmpU,0
Snoop Flow,10,1,LLCWBInv,k,X,CmpU,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,done,0,ExtCmp(core_logic_id),0,0,0,0,X,0,0,0,0,0
Snoop Flow,11,1,LLCWBInv,f ,X,X,RspI/RspIhitFSE/RspIHitI/RspSI/RspFlushed,E/S,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,g,snoop(cv_vector),0,0,0,0,0,SNP_RSP,snoop_response(cv_vector),0,0,0,0
Snoop Flow,12,1,LLCWBInv,g,X,SNP_RSP,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,done,0,FASTGO_ExtCmp(core_logic_id),0,0,0,0,X,0,0,0,0,0
First Pass,13,1,LLCWBInv,first,X,WbInvd,X,M,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,Flusher,b_flusher,0,0,0,0,0,0,X,0,0,0,0,0
Write Back,14,1,LLCWBInv,b_flusher,X,WbInvd,X,X,X,X,X,X,X,X,X,X,x,X,X,X,X,X,X,X,X,X,done,0,0,0,0,WbMtoI,0,X,0,0,0,CmpU,0
First Pass,15,1,LLCWBInv,first,X,WbInvd,X,E/S/I,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,Flusher,done,0,0,0,0,0,0,X,0,0,0,0,0
First Pass,16,1,LLCWBInv,first,X,WbInvd,X,X,>0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,Flusher,f_flusher,0,0,0,0,0,0,X,0,0,0,0,0
Snoop Flow,17,1,LLCWBInv,f_flusher,X,X,Rsp.*FwdMO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,j_flusher,snoop(cv_vector),0,0,0,0,0,SNP_RSP,snoop_response(cv_vector),snoop_response_data(only_from_cv_vector),0,0,0
Snoop Flow,18,1,LLCWBInv,f_flusher,X,X,X,M,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,j_flusher,snoop(cv_vector),0,0,0,0,0,SNP_RSP,snoop_response(cv_vector),snoop_response_data(only_from_cv_vector),0,0,0
Snoop Flow,19,1,LLCWBInv,j_flusher,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,done,0,0,0,0,WbMtoI,0,X,0,0,0,CmpU,0
Snoop Flow,20,1,LLCWBInv,f_flusher,X,X,RspI/RspIhitFSE/RspIHitI/RspSI/RspFlushed,E/S,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,done,snoop(cv_vector),0,0,0,0,0,rspI,snoop_response(cv_vector),snoop_response_data(only_from_cv_vector),0,0,0
