Inputs,1,2,3,4,5,7,8,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,24,27,28,Expected Interfaces,output from Cpipe,24,25,28,29,30,input to Cpipe,32,33,36,37,38
Flow Section,Row Number,Row Enable ,Flow ,Bubble,Sad,Curr Opcode,Snoop response,LLC State,CV,Map,MonHit,CN,AvailData,SelfSnoop,SnoopConflict,FwdCnfltO,FreeInvWay,HadReject,CleanEvict,DeadDBP,ReqCV,SRP_en,SRP_HR_Fill,HadBogus,Pref_Promotion,MiscCondition,Next Bubble,IDI_U2C_REQ,IDI_U2C_RSP,IDI_U2C_DATA,UXI_C2U_REQ,UXI_C2U_DATA,UXI_C2U_RSP,CPIPE_REQ,IDI_C2U_RSP,IDI_C2U_DATA,UXI_U2C_REQ,UXI_U2C_RSP,UXI_U2C_DATA
First Pass,1,1,MemPushWr/MemPushWr_NS,first,HOM,MemPushWr/MemPushWr_NS,X,I,X,X,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,write_mem,0,0,0,0,0,0,X,0,0,0,0,0
First Pass,2,1,MemPushWr/MemPushWr_NS,first,HOM,MemPushWr/MemPushWr_NS,X,M/E/S,0,X,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,write_mem,0,0,0,0,0,0,X,0,0,0,0,0
Write To Memory,4,1,MemPushWr/MemPushWr_NS,write_mem,X,MemPushWr/MemPushWr_NS/SNP_RSP,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,j,0,0,0,0,0,0,X,0,0,0,0,0
Write To Memory,5,1,MemPushWr/MemPushWr_NS,j,X,MemPushWr/MemPushWr_NS/SNP_RSP,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,k,0,0,0,InvItoM,0,0,E_CmpO/M_CmpO,0,0,0,E_CmpO/M_CmpO,0
Write To Memory,5,1,MemPushWr/MemPushWr_NS,k,X,E_CmpO/M_CmpO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,l,0,GO_WritePull(core_logic_id),0,0,0,0,NO_RSP,0,data(core_logic_id),0,0,0
Write To Memory,6,1,MemPushWr/MemPushWr_NS,l,X,NO_RSP,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,done,0,0,0,0,WbMtoI,0,X,0,0,0,CmpU,0
First Pass,7,1,MemPushWr/MemPushWr_NS,first,HOM,MemPushWr/MemPushWr_NS,X,X,>0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,a,0,0,0,0,0,0,X,0,0,0,0,0
First Pass,8,1,MemPushWr/MemPushWr_NS,first,HOM,MemPushWr/MemPushWr_NS,X,X,X,X,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,a,0,0,0,0,0,0,X,0,0,0,0,0
Snoop and Write,9,1,MemPushWr/MemPushWr_NS,a,X,MemPushWr/MemPushWr_NS,X,S/I,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,write_mem,snoop(cv_vector),0,0,0,0,0,SNP_RSP,snoop_response(cv_vector),snoop_response_data(only_from_cv_vector),0,0,0
Snoop and Write,10,1,MemPushWr/MemPushWr_NS,a,X,MemPushWr/MemPushWr_NS,X,M/E,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,d ,snoop(cv_vector),0,0,0,0,0,SNP_RSP,snoop_response(cv_vector),snoop_response_data(only_from_cv_vector),0,0,0
Snoop and Write,12,1,MemPushWr/MemPushWr_NS,d,X,SNP_RSP,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,e ,0,GO_WritePull(core_logic_id),0,0,0,0,NO_RSP,0,data(core_logic_id),0,0,0
Snoop and Write,13,1,MemPushWr/MemPushWr_NS,e,X,NO_RSP,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,done,0,0,0,0,WbMtoI,0,X,0,0,0,CmpU,0
