Inputs,1,2,3,4,5,7,8,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,24,27,28,Expected Interfaces,output from Cpipe,24,25,28,29,30,input to Cpipe,32,33,36,37,38
Flow Section,Row Number,Row Enable ,Flow ,Bubble,Sad,Curr Opcode,Snoop response,LLC State,CV,Map,MonHit,CN,AvailData,SelfSnoop,SnoopConflict,FwdCnfltO,FreeInvWay,HadReject,CleanEvict,DeadDBP,ReqCV,SRP_en,SRP_HR_Fill,HadBogus,Pref_Promotion,MiscCondition,Next Bubble,IDI_U2C_REQ,IDI_U2C_RSP,IDI_U2C_DATA,UXI_C2U_REQ,UXI_C2U_DATA,UXI_C2U_RSP,CPIPE_REQ,IDI_C2U_RSP,IDI_C2U_DATA,UXI_U2C_REQ,UXI_U2C_RSP,UXI_U2C_DATA
First Pass,1,1,NC_/RFO/RFO_Pref,first,!HOM,readforownership/RFO_PRef,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,z,0,0,0,0,0,0,FakeCycle,0,0,0,0,0
CRABABORT,2,1,NC_/RFO/RFO_Pref,z,CrabAbort,FakeCycle,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,b,0,0,0,0,0,0,X,0,0,0,0,0
CRABABORT,3,1,NC_/RFO/RFO_Pref,b,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,Done,0,GO(core_logic_id),data(core_logic_id),0,0,0,X,0,0,0,0,0
HIT NO SNOOP,4,1,NC_/RFO/RFO_Pref,z,MMIO,FakeCycle,X,E/M,0,D,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,c,0,0,0,0,0,0,X,0,0,0,0,0
HIT NO SNOOP,5,1,NC_/RFO/RFO_Pref,c,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,Done,0,GO(core_logic_id),data(core_logic_id),0,0,0,X,0,0,0,0,0
SNOOP,6,1,NC_/RFO/RFO_Pref,z,MMIO,FakeCycle,X,S/E/M,>0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,d,0,0,0,0,0,0,X,0,0,0,0,0
SNOOP,7,1,NC_/RFO/RFO_Pref,d,X,X,RspIFwd.*,E/M,X,X,X,X,1,X,X,X,X,X,X,X,X,X,X,X,X,X,e,snoop(cv_vector),0,0,0,0,0,SNP_RSP,snoop_response(cv_vector),snoop_response_data(only_from_cv_vector),0,0,0
SNOOP,8,1,NC_/RFO/RFO_Pref,d,X,X,Rsp.*Fwd.*,E/M,X,X,X,X,0,X,X,X,X,X,X,X,X,X,X,X,X,X,f,snoop(cv_vector),0,0,0,0,0,SNP_RSP,snoop_response(cv_vector),snoop_response_data(only_from_cv_vector),0,0,0
SNOOP,9,1,NC_/RFO/RFO_Pref,d,X,X,RspI/RspS/RspSI/Rsp.*Hit.*/RspFlushed,E/M,X,D,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,f,snoop(cv_vector),0,0,0,0,0,SNP_RSP,snoop_response(cv_vector),snoop_response_data(only_from_cv_vector),0,0,0
SNOOP,10,1,NC_/RFO/RFO_Pref,e ,X,SNP_RSP,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,Done,0,GO(core_logic_id),data(core_logic_id),0,0,0,X,0,0,0,0,0
SNOOP,11,1,NC_/RFO/RFO_Pref,f,X,SNP_RSP,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,Done,0,GO(core_logic_id),data(core_logic_id),0,0,0,X,0,0,0,0,0
SNOOP,12,1,NC_/RFO/RFO_Pref,d,X,X,RspI/RspS/RspSI/Rsp.*Hit.*/RspFlushed,X,X,SF,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,read_mem,snoop(cv_vector),0,0,0,0,0,SNP_RSP,snoop_response(cv_vector),snoop_response_data(only_from_cv_vector),0,0,0
SNOOP,12,1,NC_/RFO/RFO_Pref,d,X,X,X,S,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,read_mem,snoop(cv_vector),0,0,0,0,0,SNP_RSP,snoop_response(cv_vector),snoop_response_data(only_from_cv_vector),0,0,0
READ,13,1,NC_/RFO/RFO_Pref,z,MMIO,FakeCycle,X,S,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,read_mem,0,0,0,0,0,0,X,0,0,0,0,0
READ,14,1,NC_/RFO/RFO_Pref,z,MMIO,FakeCycle,X,I,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,read_mem,0,0,0,0,0,0,X,0,0,0,0,0
READ,14,1,NC_/RFO/RFO_Pref,z,MMIO,FakeCycle,X,E/M,0,SF,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,read_mem,0,0,0,0,0,0,X,0,0,0,0,0
READ,15,1,NC_/RFO/RFO_Pref,read_mem,X,SNP_RSP/FakeCycle,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,g,0,0,0,0,0,0,X,0,0,0,0,0
READ,16,1,NC_/RFO/RFO_Pref,g,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,h,0,0,0,0,NcRd,0,NO_RSP,0,0,0,0,data
READ,17,1,NC_/RFO/RFO_Pref,h,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,Done,0,GO(core_logic_id),data(core_logic_id),0,0,0,X,0,0,0,0,0
