Inputs,1,2,3,4,5,7,8,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,24,27,28,Expected Interfaces,output from Cpipe,24,25,28,29,30,input to Cpipe,32,33,36,37,38
Flow Section,Row Number,Row Enable ,Flow ,Bubble,Sad,Curr Opcode,Snoop response,LLC State,CV,Map,MonHit,CN,AvailData,SelfSnoop,SnoopConflict,FwdCnfltO,FreeInvWay,HadReject,CleanEvict,DeadDBP,ReqCV,SRP_en,SRP_HR_Fill,HadBogus,Pref_Promotion,MiscCondition,Next Bubble,IDI_U2C_REQ,IDI_U2C_RSP,IDI_U2C_DATA,UXI_C2U_REQ,UXI_C2U_DATA,UXI_C2U_RSP,CPIPE_REQ,IDI_C2U_RSP,IDI_C2U_DATA,UXI_U2C_REQ,UXI_U2C_RSP,UXI_U2C_DATA
First Pass,1,1,PRd/CRd_UC/UcRdF,first,HOM,PRd/CRd_UC/UcRdF,X,E,0,D,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,a,0,0,0,0,0,0,X,0,0,0,0,0
Hit,2,1,PRd/CRd_UC/UcRdF,a,HOM,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,Done,0,GO(core_logic_id),data(core_logic_id),0,0,0,X,0,0,0,0,0
First Pass,3,1,PRd/CRd_UC/UcRdF,first,HOM,PRd/CRd_UC/UcRdF,X,M,0,D,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,b,0,0,0,0,0,0,X,0,0,0,0,0
Hit,5,1,PRd/CRd_UC/UcRdF,b,HOM,Prd/Crd_UC/UcRdF/SNP_RSP/RspIFwdM,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,e,0,GO(core_logic_id),data(core_logic_id),0,0,0,FakeCycle,0,0,0,0,0
Evict,6,1,PRd/CRd_UC/UcRdF,e,HOM,FakeCycle,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,Done,0,0,0,0,WbMtoI,0,X,0,0,0,CmpU,0
First Pass,7,1,PRd/CRd_UC/UcRdF,first,HOM,PRd/CRd_UC/UcRdF,X,!LLC_I,>0,X,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,c,0,0,0,0,0,0,X,0,0,0,0,0
First Pass,8,1,PRd/CRd_UC/UcRdF,first,HOM,PRd/CRd_UC/UcRdF,X,X,X,X,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,c,0,0,0,0,0,0,X,0,0,0,0,0
Snoop,9,1,PRd/CRd_UC/UcRdF,c,HOM,X,RspIFwdMO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,b,snoop(cv_vector),0,0,0,0,0,SNP_RSP,snoop_response(cv_vector),snoop_response_data(only_from_cv_vector),0,0,0
Snoop,10,1,PRd/CRd_UC/UcRdF,c,HOM,X,!RspIFwdMO,LLC_M,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,b,snoop(cv_vector),0,0,0,0,0,SNP_RSP,snoop_response(cv_vector),0,0,0,0
Snoop,11,1,PRd/CRd_UC/UcRdF,c,HOM,X,RspIHit.*/RspFlushed,I/S/E,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,read_mem,snoop(cv_vector),0,0,0,0,0,SNP_RSP,snoop_response(cv_vector),0,0,0,0
Read_Mem,12,1,PRd/CRd_UC/UcRdF,read_mem,HOM,PRd/Crd_UC/UcRdF/SNP_RSP ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,j,0,0,0,0,0,0,X,0,0,0,0,0
Read_Mem,13,1,PRd/CRd_UC/UcRdF,j,HOM,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,k,0,0,data(direct2core_logic_id),RdInv,0,0,E_CmpO,0,0,0,E_CmpO,data(direct2core)
First Pass,15,1,PRd/CRd_UC/UcRdF,first,HOM,PRd/CRd_UC/UcRdF,X,LLC_I,X,X,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,read_mem,0,0,0,0,0,0,X,0,0,0,0,0
First Pass,16,1,PRd/CRd_UC/UcRdF,first,HOM,PRd/CRd_UC/UcRdF,X,LLC_S,0,X,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,read_mem,0,0,0,0,0,0,X,0,0,0,0,0
First Pass,17,1,PRd/CRd_UC/UcRdF,first,HOM,PRd/CRd_UC/UcRdF,X,X,0,SF,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,read_mem,0,0,0,0,0,0,X,0,0,0,0,0
Read_Mem,18,1,PRd/CRd_UC/UcRdF,k,HOM,E_CmpO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,Done ,0,GO(core_logic_id),0,0,0,0,X,0,0,0,0,0
