Inputs,1,2,3,4,5,7,8,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,24,27,28,Expected Interfaces,output from Cpipe,24,25,28,29,30,input to Cpipe,32,33,36,37,38
Flow Section,Row Number,Row Enable ,Flow ,Bubble,Sad,Curr Opcode,Snoop response,LLC State,CV,Map,MonHit,CN,AvailData,SelfSnoop,SnoopConflict,FwdCnfltO,FreeInvWay,HadReject,CleanEvict,DeadDBP,ReqCV,SRP_en,SRP_HR_Fill,HadBogus,Pref_Promotion,MiscCondition,Next Bubble,IDI_U2C_REQ,IDI_U2C_RSP,IDI_U2C_DATA,UXI_C2U_REQ,UXI_C2U_DATA,UXI_C2U_RSP,CPIPE_REQ,IDI_C2U_RSP,IDI_C2U_DATA,UXI_U2C_REQ,UXI_U2C_RSP,UXI_U2C_DATA
First Pass,1,1,Port_In,first,X,PortIn,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,z,0,0,0,0,0,0,Fakecycle,0,0,0,0,0
FakeCycle,2,1,Port_In,z,CRABABORT,FakeCycle,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,b,0,0,0,0,0,0,GO,0,0,0,0,0
CRABABORT,3,1,Port_In,b,X,GO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,Done,0,GO(core_logic_id),data(core_logic_id),0,0,0,X,0,0,0,0,0
FakeCycle,4,1,Port_In,z,CFG,FakeCycle,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,c,0,0,0,0,0,0,X,0,0,0,0,0
FakeCycle,5,1,Port_In,z,LT,FakeCycle,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,d,0,0,0,0,0,0,X,0,0,0,0,0
FakeCycle,6,1,Port_In,z,IO,FakeCycle,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,e,0,0,0,0,0,0,X,0,0,0,0,0
Read_NC,7,1,Port_In,c,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,f,0,0,0,0,NcCFGRd,0,NO_RSP,0,0,0,0,data
Read_NC,8,1,Port_In,d,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,f,0,0,0,0,NcRdPtl,0,NO_RSP,0,0,0,0,data
Read_NC,9,1,Port_In,e,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,is_0x3=1,f,0,0,0,0,NcRdPtl,0,NO_RSP,0,0,0,0,data
Read_NC,10,1,Port_In,e,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,is_0x3=0,f,0,0,0,0,NcIORd,0,NO_RSP,0,0,0,0,data
Read_NC,11,1,Port_In,f,X,NO_RSP,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,Done,0,GO(core_logic_id),data(core_logic_id),0,0,0,X,0,0,0,0,0
