Inputs,1,2,3,4,5,7,8,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,24,27,28,Expected Interfaces,output from Cpipe,24,25,28,29,30,input to Cpipe,32,33,36,37,38
Flow Section,Row Number,Row Enable ,Flow ,Bubble,Sad,Curr Opcode,Snoop response,LLC State,CV,Map,MonHit,CN,AvailData,SelfSnoop,SnoopConflict,FwdCnfltO,FreeInvWay,HadReject,CleanEvict,DeadDBP,ReqCV,SRP_en,SRP_HR_Fill,HadBogus,Pref_Promotion,MiscCondition,Next Bubble,IDI_U2C_REQ,IDI_U2C_RSP,IDI_U2C_DATA,UXI_C2U_REQ,UXI_C2U_DATA,UXI_C2U_RSP,CPIPE_REQ,IDI_C2U_RSP,IDI_C2U_DATA,UXI_U2C_REQ,UXI_U2C_RSP,UXI_U2C_DATA
First Pass,1,1,RFO/RFO_PRef,first,HOM,readforownership/RFO_PRef,X,E/M,0,D,0,1,X,X,X,X,X,X,X,X,X,X,X,X,X,had_promotion=0,a,0,0,0,0,0,0,X,0,0,0,0,0
First Pass,2,1,RFO/RFO_PRef,first,HOM,readforownership/RFO_PRef,X,E/M,0,D,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,had_promotion=0,b,0,0,0,0,0,0,X,0,0,0,0,0
snoop,3,1,RFO/RFO_PRef,a,HOM,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,Done,0,GO(core_logic_id),data(core_logic_id),0,0,0,X,0,0,0,0,0
Hit,4,1,RFO/RFO_PRef,b,HOM,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,Done,0,GO(core_logic_id),data(core_logic_id),0,0,0,X,0,0,0,0,0
First Pass,5,1,RFO/RFO_PRef,first,HOM,readforownership/RFO_PRef,X,E/M/S,>0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,had_promotion=0,c,0,0,0,0,0,0,X,0,0,0,0,0
First Pass,6,1,RFO/RFO_PRef,first,HOM,readforownership/RFO_PRef,X,X,X,X,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,had_promotion=0,c,0,0,0,0,0,0,X,0,0,0,0,0
snoop- RspNack,7,1,RFO_PRef,c,HOM,X,RspNack,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,g,snoop(cv_vector),0,0,0,0,0,SNP_RSP,snoop_response(cv_vector),0,0,0,0
snoop- RspNack,8,1,RFO_PRef,g,HOM,SNP_RSP,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,done,0,GO_NoGo(core_logic_id),0,0,0,0,X,0,0,0,0,0
snoop,9,1,RFO/RFO_PRef,c,HOM,X,!RspNack,E/M,X,D,X,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,d,snoop(cv_vector),0,0,0,0,0,SNP_RSP,snoop_response(cv_vector),snoop_response_data(only_from_cv_vector),0,0,0
snoop,10,1,RFO/RFO_PRef,c,HOM,X,RspIFwdFE,E/M,X,X,X,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,d,snoop(cv_vector),0,0,0,0,0,SNP_RSP,snoop_response(cv_vector),snoop_response_data(only_from_cv_vector),0,0,0
snoop,11,1,RFO/RFO_PRef,c,HOM,X,RspIFwdMO,E/M,X,X,X,1,1,X,X,X,X,X,X,X,X,X,X,X,X,X,d,snoop(cv_vector),0,0,0,0,0,SNP_RSP,snoop_response(cv_vector),snoop_response_data(only_from_cv_vector),0,0,0
