Inputs,1,2,3,4,5,7,8,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,24,27,28,Expected Interfaces,output from Cpipe,24,25,28,29,30,input to Cpipe,32,33,36,37,38
Flow Section,Row Number,Row Enable ,Flow ,Bubble,Sad,Curr Opcode,Snoop response,LLC State,CV,Map,MonHit,CN,AvailData,SelfSnoop,SnoopConflict,FwdCnfltO,FreeInvWay,HadReject,CleanEvict,DeadDBP,ReqCV,SRP_en,SRP_HR_Fill,HadBogus,Pref_Promotion,MiscCondition,Next Bubble,IDI_U2C_REQ,IDI_U2C_RSP,IDI_U2C_DATA,UXI_C2U_REQ,UXI_C2U_DATA,UXI_C2U_RSP,CPIPE_REQ,IDI_C2U_RSP,IDI_C2U_DATA,UXI_U2C_REQ,UXI_U2C_RSP,UXI_U2C_DATA
First Pass,1,1,SnpData,first,X,SnpData,X,X,X,X,X,X,X,X,1,X,X,X,X,X,X,X,X,X,X,X,a,0,0,0,0,0,0,X,0,0,SnpData,0,0
SnpConflict,2,1,SnpData,a,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,z,0,0,0,ReqFwdCnflt,0,0,FwdCnfltO,0,0,0,FwdCnfltO,0
First Pass,3,1,SnpData,first,X,SnpData,X,E/M,1,X,X,X,X,X,0,X,X,X,X,X,X,X,X,X,X,X,b,0,0,0,0,0,0,X,0,0,SnpData,0,0
First Pass,4,1,SnpData,z,X,FwdCnfltO,X,E/M,1,X,X,X,X,X,1,1,X,X,X,X,X,X,X,X,X,X,b,0,0,0,0,0,0,FakeCycle,0,0,0,0,0
Snoop,5,1,SnpData,b,X,SnpData/FakeCycle,RspI/RspS/RspSI/RspFlushed/RspIHit.*/RspSHit.*,E,X,SF,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,c,snoop(cv_vector),0,0,0,0,0,SNP_RSP,snoop_response(cv_vector),snoop_response_data(only_from_cv_vector),0,0,0
Snoop,6,1,SnpData,c,X,SNP_RSP,RspSHitFSE/RspSI,E,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,done,0,0,0,0,0,RspS,X,0,0,0,0,0
Snoop,7,1,SnpData,c,X,SNP_RSP,RspIHit.*,E,X,X,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,done,0,0,0,0,0,RspI,X,0,0,0,0,0
Snoop,8,1,SnpData,c,X,SNP_RSP,RspIHit.*,E,X,X,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,done,0,0,0,0,0,RspS,X,0,0,0,0,0
Snoop,9,1,SnpData,b,X,SnpData/FakeCycle,!Rsp.*FwdMO,E,X,Data,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,d,snoop(cv_vector),0,0,0,0,0,SNP_RSP,snoop_response(cv_vector),snoop_response_data(only_from_cv_vector),0,0,0
Snoop,10,1,SnpData,b,X,SnpData/FakeCycle,Rsp.*FwdFE,E,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,d,snoop(cv_vector),0,0,0,0,0,SNP_RSP,snoop_response(cv_vector),snoop_response_data(only_from_cv_vector),0,0,0
Snoop,11,1,SnpData,d,X,SNP_RSP,RspIFwdFE,X,X,SF,0,X,X,X,X,X,0,X,X,X,X,X,X,X,X,X,done,0,0,0,0,Data_SI,RspFwdI-C,X,0,0,0,0,0
Snoop,12,1,SnpData,d,X,SNP_RSP,!RspIFwdFE,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,done,0,0,0,0,Data_SI,RspFwdS,X,0,0,0,0,0
Snoop,13,1,SnpData,d,X,SNP_RSP,X,X,X,Data,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,done,0,0,0,0,Data_SI,RspFwdS,X,0,0,0,0,0
Snoop,14,1,SnpData,d,X,SNP_RSP,X,X,X,X,X,X,X,X,X,X,1,X,X,X,X,X,X,X,X,X,done,0,0,0,0,Data_SI,RspFwdS,X,0,0,0,0,0
Snoop,15,1,SnpData,d,X,SNP_RSP,X,X,X,X,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,done,0,0,0,0,Data_SI,RspFwdS,X,0,0,0,0,0
Snoop,16,1,SnpData,b,X,SnpData/FakeCycle,RspS.*,M,X,Data,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,e,snoop(cv_vector),0,0,0,0,0,SNP_RSP,snoop_response(cv_vector),snoop_response_data(only_from_cv_vector),0,0,0
Snoop,17,1,SnpData,b,X,SnpData/FakeCycle,RspSFwdMO,X,X,Data,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,e,snoop(cv_vector),0,0,0,0,0,SNP_RSP,snoop_response(cv_vector),snoop_response_data(only_from_cv_vector),0,0,0
Snoop,18,1,SnpData,b,X,SnpData/FakeCycle,RspS.*,M,X,X,X,X,X,X,X,X,1,X,X,X,X,X,X,X,X,X,e,snoop(cv_vector),0,0,0,0,0,SNP_RSP,snoop_response(cv_vector),snoop_response_data(only_from_cv_vector),0,0,0
Snoop,19,1,SnpData,b,X,SnpData/FakeCycle,RspSFwdMO,X,X,X,X,X,X,X,X,X,1,X,X,X,X,X,X,X,X,X,e,snoop(cv_vector),0,0,0,0,0,SNP_RSP,snoop_response(cv_vector),snoop_response_data(only_from_cv_vector),0,0,0
Snoop,20,1,SnpData,e,X,SNP_RSP,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,n,0,0,0,0,Data_SI(cache2cache),0,FakeCycle,0,0,0,0,0
Snoop,21,1,SnpData,n,X,FakeCycle,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,done,0,0,0,0,RspFwdSWb(cache2ha),0,X,0,0,0,0,0
Snoop,22,1,SnpData,b,X,SnpData/FakeCycle,X,M,X,SF,X,X,X,X,X,X,0,X,X,X,X,X,X,X,X,X,g,snoop(cv_vector),0,0,0,0,0,SNP_RSP,snoop_response(cv_vector),snoop_response_data(only_from_cv_vector),0,0,0
