Inputs,1,2,3,4,5,7,8,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,24,27,28,Expected Interfaces,output from Cpipe,24,25,28,29,30,input to Cpipe,32,33,36,37,38
Flow Section,Row Number,Row Enable ,Flow ,Bubble,Sad,Curr Opcode,Snoop response,LLC State,CV,Map,MonHit,CN,AvailData,SelfSnoop,SnoopConflict,FwdCnfltO,FreeInvWay,HadReject,CleanEvict,DeadDBP,ReqCV,SRP_en,SRP_HR_Fill,HadBogus,Pref_Promotion,MiscCondition,Next Bubble,IDI_U2C_REQ,IDI_U2C_RSP,IDI_U2C_DATA,UXI_C2U_REQ,UXI_C2U_DATA,UXI_C2U_RSP,CPIPE_REQ,IDI_C2U_RSP,IDI_C2U_DATA,UXI_U2C_REQ,UXI_U2C_RSP,UXI_U2C_DATA
First Pass,1,1,SnpDataMig,first,X,SnpDataMig,X,X,X,X,X,X,X,X,1,X,X,X,X,X,X,X,X,X,X,X,a,0,0,0,0,0,0,X,0,0,SnpDataMig,0,0
SnpConflict,2,1,SnpDataMig,a,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,z,0,0,0,ReqFwdCnflt,0,0,FwdCnfltO,0,0,0,FwdCnfltO,0
First Pass,3,1,SnpDataMig,first,X,SnpDataMig,X,E/M,1,X,X,X,X,X,0,X,X,X,X,X,X,X,X,X,X,X,b,0,0,0,0,0,0,X,0,0,SnpDataMig,0,0
First Pass,4,1,SnpDataMig,z,X,FwdCnfltO,X,E/M,1,X,X,X,X,X,1,1,X,X,X,X,X,X,X,X,X,X,b,0,0,0,0,0,0,FakeCycle,0,0,0,0,0
Snoop,5,1,SnpDataMig,b,X,SnpDataMig/FakeCycle,RspI/RspS/RspSI/RspFlushed/RspIHit.*/RspSHit.*,E,X,SF,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,c,snoop(cv_vector),0,0,0,0,0,SNP_RSP,snoop_response(cv_vector),0,0,0,0
Snoop,6,1,SnpDataMig,c,X,SNP_RSP,RspS/RspSI/RspSHit.*,E,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,done,0,0,0,0,0,RspS,X,0,0,0,0,0
Snoop,7,1,SnpDataMig,c,X,SNP_RSP,X,E,X,Data,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,done,0,0,0,0,0,RspS,X,0,0,0,0,0
Snoop,8,1,SnpDataMig,c,X,SNP_RSP,RspI/RspFlushed/RspIHit.*,E,X,SF,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,done,0,0,0,0,0,RspI,X,0,0,0,0,0
Snoop,9,1,SnpDataMig,c,X,SNP_RSP,RspI/RspFlushed/RspIHit.*,E,X,SF,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,done,0,0,0,0,0,RspS,X,0,0,0,0,0
Snoop,10,1,SnpDataMig,b,X,SnpDataMig/FakeCycle,!Rsp.*FwdMO,E,X,Data,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,d,snoop(cv_vector),0,0,0,0,0,SNP_RSP,snoop_response(cv_vector),snoop_response_data(only_from_cv_vector),0,0,0
Snoop,11,1,SnpDataMig,b,X,SnpDataMig/FakeCycle,Rsp.*FwdFE,E,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,d,snoop(cv_vector),0,0,0,0,0,SNP_RSP,snoop_response(cv_vector),snoop_response_data(only_from_cv_vector),0,0,0
Snoop,12,1,SnpDataMig,d,X,SNP_RSP,X,X,X,DATA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,done,0,0,0,0,Data_SI,RspFwdS,X,0,0,0,0,0
Snoop,13,1,SnpDataMig,d,X,SNP_RSP,Rsp.*FwdFE,X,X,SF,X,X,X,X,X,X,1,X,X,X,X,X,X,X,X,X,done,0,0,0,0,Data_SI,RspFwdS,X,0,0,0,0,0
Snoop,14,1,SnpDataMig,d,X,SNP_RSP,RspIFwdFE,X,X,SF,0,X,X,X,X,X,0,X,X,X,X,X,X,X,X,X,done,0,0,0,0,Data_SI,RspFwdI-C,X,0,0,0,0,0
Snoop,15,1,SnpDataMig,d,X,SNP_RSP,RspSFwdFE,X,X,SF,X,X,X,X,X,X,0,X,X,X,X,X,X,X,X,X,done,0,0,0,0,Data_SI,RspFwdS,X,0,0,0,0,0
Snoop,16,1,SnpDataMig,d,X,SNP_RSP,X,X,X,SF,1,X,X,X,X,X,0,X,X,X,X,X,X,X,X,X,done,0,0,0,0,Data_SI,RspFwdS,X,0,0,0,0,0
Snoop,17,1,SnpDataMig,b,X,SnpDataMig/FakeCycle,RspI/RspFlushed/RspIHit.*,M,X,X,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,e,snoop(cv_vector),0,0,0,0,0,SNP_RSP,snoop_response(cv_vector),0,0,0,0
Snoop,18,1,SnpDataMig,b,X,SnpDataMig/FakeCycle,RspIFwdMO,X,X,X,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,e,snoop(cv_vector),0,0,0,0,0,SNP_RSP,snoop_response(cv_vector),snoop_response_data(only_from_cv_vector),0,0,0
Snoop,19,1,SnpDataMig,e,X,SNP_RSP,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,done,0,0,0,0,Data_M,RspFwdI-D,X,0,0,0,0,0
Snoop,20,1,SnpDataMig,b,X,SnpDataMig/FakeCycle,RspS/RspSI/RspSHit.*/RspSFwdFE,M,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,f,snoop(cv_vector),0,0,0,0,0,SNP_RSP,snoop_response(cv_vector),snoop_response_data(only_from_cv_vector),0,0,0
Snoop,21,1,SnpDataMig,b,X,SnpDataMig/FakeCycle,RspI/RspFlushed/RspIHit.*,M,X,X,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,f,snoop(cv_vector),0,0,0,0,0,SNP_RSP,snoop_response(cv_vector),0,0,0,0
Snoop,22,1,SnpDataMig,b,X,SnpDataMig/FakeCycle,RspSFwdMO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,f,snoop(cv_vector),0,0,0,0,0,SNP_RSP,snoop_response(cv_vector),snoop_response_data(only_from_cv_vector),0,0,0
Snoop,23,1,SnpDataMig,b,X,SnpDataMig/FakeCycle,RspIFwdMO,X,X,X,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,f,snoop(cv_vector),0,0,0,0,0,SNP_RSP,snoop_response(cv_vector),snoop_response_data(only_from_cv_vector),0,0,0
Snoop,24,1,SnpDataMig,f,X,SNP_RSP,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,g,0,0,0,0,Data_SI(cache2cache),0,FakeCycle,0,0,0,0,0
Snoop,25,1,SnpDataMig,g,X,FakeCycle,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,done,0,0,0,0,RspFwdSWb(cache2ha),0,X,0,0,0,0,0
First Pass,26,1,SnpDataMig,first,X,SnpDataMig,X,X,0,X,X,X,X,X,0,X,X,X,X,X,X,X,X,X,X,X,response,0,0,0,0,0,0,X,0,0,SnpDataMig,0,0
First Pass,27,1,SnpDataMig,first,X,SnpDataMig,X,X,>1,X,X,X,X,X,0,X,X,X,X,X,X,X,X,X,X,X,response,0,0,0,0,0,0,X,0,0,SnpDataMig,0,0
First Pass,28,1,SnpDataMig,first,X,SnpDataMig,X,S,X,X,X,X,X,X,0,X,X,X,X,X,X,X,X,X,X,X,response,0,0,0,0,0,0,X,0,0,SnpDataMig,0,0
First Pass,29,1,SnpDataMig,first,X,SnpDataMig,X,I,X,X,X,X,X,X,0,X,X,X,X,X,X,X,X,X,X,X,response,0,0,0,0,0,0,X,0,0,SnpDataMig,0,0
Response,30,1,SnpDataMig,response,X,SnpDataMig/FakeCycle,X,S/I,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,h,0,0,0,0,0,0,X,0,0,0,0,0
Response,31,1,SnpDataMig,response,X,SnpDataMig/FakeCycle,X,E,X,SF,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,h,0,0,0,0,0,0,X,0,0,0,0,0
Response,32,1,SnpDataMig,h,X,X,X,E,X,SF,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,done,0,0,0,0,0,RspS,X,0,0,0,0,0
Response,33,1,SnpDataMig,h,X,X,X,S,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,done,0,0,0,0,0,RspS,X,0,0,0,0,0
Response,34,1,SnpDataMig,h,X,X,X,I,X,X,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,done,0,0,0,0,0,RspS,X,0,0,0,0,0
Response,35,1,SnpDataMig,h,X,X,X,I,X,X,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,done,0,0,0,0,0,RspI,X,0,0,0,0,0
Response,36,1,SnpDataMig,response,X,SnpDataMig/FakeCycle,X,E,X,Data,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,I,0,0,0,0,0,0,X,0,0,0,0,0
Response,37,1,SnpDataMig,I,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,done,0,0,0,0,Data_SI,RspFwdS,X,0,0,0,0,0
Response,38,1,SnpDataMig,response,X,SnpDataMig/FakeCycle,X,M,0,X,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,k,0,0,0,0,0,0,X,0,0,0,0,0
Response,39,1,SnpDataMig,k,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,done,0,0,0,0,Data_M,RspFwdI-D,X,0,0,0,0,0
Response,40,1,SnpDataMig,response,X,SnpDataMig/FakeCycle,X,M,X,X,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,L,0,0,0,0,0,0,X,0,0,0,0,0
Response,41,1,SnpDataMig,response,X,SnpDataMig/FakeCycle,X,M,>1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,L,0,0,0,0,0,0,X,0,0,0,0,0
Response,42,1,SnpDataMig,L,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,m,0,0,0,0,Data_SI(cache2cache),0,FakeCycle,0,0,0,0,0
Response,43,1,SnpDataMig,m,X,FakeCycle,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,done,0,0,0,0,RspFwdSWb(cache2ha),0,X,0,0,0,0,0
First Pass,44,1,SnpDataMig,z,X,FwdCnfltO,X,S/I,X,X,X,X,X,X,1,1,X,X,X,X,X,X,X,X,X,X,response,0,0,0,0,0,0,FakeCycle,0,0,0,0,0
First Pass,45,1,SnpDataMig,z,X,FwdCnfltO,X,X,0,X,X,X,X,X,1,1,X,X,X,X,X,X,X,X,X,X,response,0,0,0,0,0,0,FakeCycle,0,0,0,0,0
First Pass,46,1,SnpDataMig,z,X,FwdCnfltO,X,X,>1,X,X,X,X,X,1,1,X,X,X,X,X,X,X,X,X,X,response,0,0,0,0,0,0,FakeCycle,0,0,0,0,0
First Pass – in case of CV err,47,1,SnpDataMig,first,X,SnpDataMig,X,E/M,>1,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,X,had_cv_err=1,b,0,0,0,0,0,0,X,0,0,SnpDataMig,0,0
First Pass – in case of CV err,48,1,SnpDataMig,z,X,FwdCnfltO,X,E/M,>1,X,X,X,X,X,1,1,X,X,X,X,X,X,X,X,X,had_cv_err=1,b,0,0,0,0,0,0,FakeCycle,0,0,0,0,0
