Inputs,1,2,3,4,5,7,8,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,24,27,28,Expected Interfaces,output from Cpipe,24,25,28,29,30,input to Cpipe,32,33,36,37,38
Flow Section,Row Number,Row Enable ,Flow ,Bubble,Sad,Curr Opcode,Snoop response,LLC State,CV,Map,MonHit,CN,AvailData,SelfSnoop,SnoopConflict,FwdCnfltO,FreeInvWay,HadReject,CleanEvict,DeadDBP,ReqCV,SRP_en,SRP_HR_Fill,HadBogus,Pref_Promotion,MiscCondition,Next Bubble,IDI_U2C_REQ,IDI_U2C_RSP,IDI_U2C_DATA,UXI_C2U_REQ,UXI_C2U_DATA,UXI_C2U_RSP,CPIPE_REQ,IDI_C2U_RSP,IDI_C2U_DATA,UXI_U2C_REQ,UXI_U2C_RSP,UXI_U2C_DATA
First Pass,1,1,SnpLDataMig,first,X,SnpLDataMig,X,X,X,X,X,X,X,X,1,X,X,X,X,X,X,X,X,X,X,X,a,0,0,0,0,0,0,X,0,0,SnpLDataMig,0,0
SnpConflict,2,1,SnpLDataMig,a,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,z,0,0,0,0,ReqFwdCnflt,0,FwdCnfltO,0,0,0,FwdCnfltO,0
First Pass,3,1,SnpLDataMig,first,X,SnpLDataMig,X,M,!1,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,X,X,g,0,0,0,0,0,0,X,0,0,SnpLDataMig,0,0
First Pass,4,1,SnpLDataMig,z,X,FwdCnfltO,X,M,!1,X,X,X,X,X,1,1,X,X,X,X,X,X,X,X,X,X,g,0,0,0,0,0,0,FakeCycle,0,0,0,0,0
First Pass,5,1,SnpLDataMig,first,X,SnpLDataMig,X,S/I,X,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,X,X,f,0,0,0,0,0,0,X,0,0,SnpLDataMig,0,0
First Pass,6,1,SnpLDataMig,z,X,FwdCnfltO,X,S/I,X,X,X,X,X,X,1,1,X,X,X,X,X,X,X,X,X,X,f,0,0,0,0,0,0,FakeCycle,0,0,0,0,0
First Pass,7,1,SnpLDataMig,first,X,SnpLDataMig,X,!LLC_M,!1,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,X,X,f,0,0,0,0,0,0,X,0,0,SnpLDataMig,0,0
First Pass,8,1,SnpLDataMig,z,X,FwdCnfltO,X,!LLC_M,!1,X,X,X,X,X,1,1,X,X,X,X,X,X,X,X,X,X,f,0,0,0,0,0,0,FakeCycle,0,0,0,0,0
First Pass,9,1,SnpLDataMig,g,X,SnpLDataMig/FakeCycle,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,done,0,0,0,0,RspSWb,0,X,0,0,0,0,0
First Pass,10,1,SnpLDataMig,f,X,SnpLDataMig/FakeCycle,X,E/S,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,done,0,0,0,0,0,RspS,X,0,0,0,0,0
First Pass,11,1,SnpLDataMig,f,X,SnpLDataMig/FakeCycle,X,I,X,X,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,done,0,0,0,0,0,RspI,X,0,0,0,0,0
First Pass,12,1,SnpLDataMig,f,X,SnpLDataMig/FakeCycle,X,I,X,X,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,done,0,0,0,0,0,RspS,X,0,0,0,0,0
First Pass,13,1,SnpLDataMig,first,X,SnpLDataMig,X,E/M,1,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,X,had_cv_err=0,b,0,0,0,0,0,0,X,0,0,SnpLDataMig,0,0
