Inputs,1,2,3,4,5,7,8,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,24,27,28,Expected Interfaces,output from Cpipe,24,25,28,29,30,input to Cpipe,32,33,36,37,38
Flow Section,Row Number,Row Enable ,Flow ,Bubble,Sad,Curr Opcode,Snoop response,LLC State,CV,Map,MonHit,CN,AvailData,SelfSnoop,SnoopConflict,FwdCnfltO,FreeInvWay,HadReject,CleanEvict,DeadDBP,ReqCV,SRP_en,SRP_HR_Fill,HadBogus,Pref_Promotion,MiscCondition,Next Bubble,IDI_U2C_REQ,IDI_U2C_RSP,IDI_U2C_DATA,UXI_C2U_REQ,UXI_C2U_DATA,UXI_C2U_RSP,CPIPE_REQ,IDI_C2U_RSP,IDI_C2U_DATA,UXI_U2C_REQ,UXI_U2C_RSP,UXI_U2C_DATA
SnpConflict,1,1,SnpLDrop,first,HOM,SnpLDrop,X,X,X,X,X,X,X,X,1,X,X,X,X,X,X,X,X,X,X,X,a,0,0,0,0,0,0,X,0,0,SnpLDrop,0,0
SnpConflict,2,1,SnpLDrop,a,x,SnpLDrop,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,z,0,0,0,ReqFwdCnflt,0,0,FwdCnfltO,0,0,0,FwdCnfltO,0
snoop needed,3,1,SnpLDrop,first,HOM,SnpLDrop,X,X,X,X,1,X,X,X,0,X,X,X,X,X,X,X,X,X,X,X,b,0,0,0,0,0,0,X,0,0,SnpLDrop,0,0
SnpConflict,4,1,SnpLDrop,z,HOM,FwdCnfltO,X,X,X,X,1,X,X,X,1,1,X,X,X,X,X,X,X,X,X,X,b,0,0,0,0,0,0,FakeCycle,0,0,0,0,0
snoop needed,5,1,SnpLDrop,first,HOM,SnpLDrop,X,X,>0,X,X,X,X,X,0,X,X,X,X,X,X,X,X,X,X,X,b,0,0,0,0,0,0,X,0,0,SnpLDrop,0,0
SnpConflict,6,1,SnpLDrop,z,HOM,FwdCnfltO,X,X,>0,X,X,X,X,X,1,1,X,X,X,X,X,X,X,X,X,X,b,0,0,0,0,0,0,FakeCycle,0,0,0,0,0
snoop needed,7,1,SnpLDrop,b,X,SnpLDrop/FakeCycle,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,c,snoop(cv_vector),0,0,0,0,0,SNP_RSP,snoop_response(cv_vector),snoop_response_data(only_from_cv_vector),0,0,0
snoop needed,8,1,SnpLDrop,c,X,SNP_RSP,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,Done,0,0,0,0,0,RspI,X,0,0,0,0,0
No Snoop Needed,9,1,SnpLDrop,first,HOM,SnpLDrop,X,X,0,X,0,X,X,X,0,X,X,X,X,X,X,X,X,X,X,X,e,0,0,0,0,0,0,X,0,0,SnpLDrop,0,0
SnpConflict,10,1,SnpLDrop,z,HOM,FwdCnfltO,X,X,0,X,0,X,X,X,1,1,X,X,X,X,X,X,X,X,X,X,e,0,0,0,0,0,0,FakeCycle,0,0,0,0,0
No Snoop Needed,11,1,SnpLDrop,e,X,SnpLDrop/FakeCycle,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,Done,0,0,0,0,0,RspI,X,0,0,0,0,0
