Inputs,1,2,3,4,5,7,8,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,24,27,28,Expected Interfaces,output from Cpipe,24,25,28,29,30,input to Cpipe,32,33,36,37,38
Flow Section,Row Number,Row Enable ,Flow ,Bubble,Sad,Curr Opcode,Snoop response,LLC State,CV,Map,MonHit,CN,AvailData,SelfSnoop,SnoopConflict,FwdCnfltO,FreeInvWay,HadReject,CleanEvict,DeadDBP,ReqCV,SRP_en,SRP_HR_Fill,HadBogus,Pref_Promotion,MiscCondition,Next Bubble,IDI_U2C_REQ,IDI_U2C_RSP,IDI_U2C_DATA,UXI_C2U_REQ,UXI_C2U_DATA,UXI_C2U_RSP,CPIPE_REQ,IDI_C2U_RSP,IDI_C2U_DATA,UXI_U2C_REQ,UXI_U2C_RSP,UXI_U2C_DATA
SnpConflict,1,1,SnpLInv,first,HOM,SnpLInv,X,X,X,X,X,X,X,X,1,X,X,X,X,X,X,X,X,X,X,X,a,0,0,0,0,0,0,X,0,0,SnpLInv,0,0
SnpConflict,2,1,SnpLInv,a,X,SnpLInv,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,z,0,0,0,ReqFwdCnflt,0,0,FwdCnfltO,0,0,0,FwdCnfltO,0
snoop needed,3,1,SnpLInv,first,HOM,SnpLInv,X,X,X,X,1,X,X,X,0,X,X,X,X,X,X,X,X,X,X,X,b,0,0,0,0,0,0,X,0,0,SnpLInv,0,0
snoop needed,4,1,SnpLInv,z,HOM,FwdCnfltO,X,X,X,X,1,X,X,X,1,1,X,X,X,X,X,X,X,X,X,X,b,0,0,0,0,0,0,FakeCycle,0,0,0,0,0
snoop needed,5,1,SnpLInv,first,HOM,SnpLInv,X,X,>0,X,X,X,X,X,0,X,X,X,X,X,X,X,X,X,X,X,b,0,0,0,0,0,0,X,0,0,SnpLInv,0,0
snoop needed,6,1,SnpLInv,z,HOM,FwdCnfltO,X,X,>0,X,X,X,X,X,1,1,X,X,X,X,X,X,X,X,X,X,b,0,0,0,0,0,0,FakeCycle,0,0,0,0,0
snoop needed,7,1,SnpLInv,b,X,SnpLInv/FakeCycle,RspIFwdMO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,d,snoop(cv_vector),0,0,0,0,0,SNP_RSP,snoop_response(cv_vector),snoop_response_data(only_from_cv_vector),0,0,0
snoop needed,8,1,SnpLInv,b,X,SnpLInv/FakeCycle,!RspIFwdMO,M,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,d,snoop(cv_vector),0,0,0,0,0,SNP_RSP,snoop_response(cv_vector),0,0,0,0
snoop needed,9,1,SnpLInv,b,X,SnpLInv/FakeCycle,!RspIFwdMO,E/S/I,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,c,snoop(cv_vector),0,0,0,0,0,SNP_RSP,snoop_response(cv_vector),0,0,0,0
snoop needed,10,1,SnpLInv,c,X,SNP_RSP,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,Done,0,0,0,0,0,RspI,X,0,0,0,0,0
snoop needed,11,1,SnpLInv,d,X,SNP_RSP,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,Done,0,0,0,0,RspIWb,0,X,0,0,0,0,0
No Snoop Needed,12,1,SnpLInv,first,HOM,SnpLInv,X,M,0,X,0,X,X,X,0,X,X,X,X,X,X,X,X,X,X,X,f,0,0,0,0,0,0,X,0,0,SnpLInv,0,0
No Snoop Needed,13,1,SnpLInv,z,HOM,FwdCnfltO,X,M,0,X,0,X,X,X,1,1,X,X,X,X,X,X,X,X,X,X,f,0,0,0,0,0,0,FakeCycle,0,0,0,0,0
No Snoop Needed,14,1,SnpLInv,first,HOM,SnpLInv,X,E/S/I,0,X,0,X,X,X,0,X,X,X,X,X,X,X,X,X,X,X,e,0,0,0,0,0,0,X,0,0,SnpLInv,0,0
No Snoop Needed,15,1,SnpLInv,z,HOM,FwdCnfltO,X,E/S/I,0,X,0,X,X,X,1,1,X,X,X,X,X,X,X,X,X,X,e,0,0,0,0,0,0,FakeCycle,0,0,0,0,0
No Snoop Needed,16,1,SnpLInv,e,X,SnpLInv/FakeCycle,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,Done,0,0,0,0,0,RspI,X,0,0,0,0,0
No Snoop Needed,17,1,SnpLInv,f,X,SnpLInv/FakeCycle,X,X,X,X,X,X,x,X,X,X,X,X,X,X,X,X,X,X,X,X,Done,0,0,0,0,RspIWb,0,X,0,0,0,0,0
