Inputs,1,2,3,4,5,7,8,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,24,27,28,Expected Interfaces,output from Cpipe,24,25,28,29,30,input to Cpipe,32,33,36,37,38
Flow Section,Row Number,Row Enable ,Flow ,Bubble,Sad,Curr Opcode,Snoop response,LLC State,CV,Map,MonHit,CN,AvailData,SelfSnoop,SnoopConflict,FwdCnfltO,FreeInvWay,HadReject,CleanEvict,DeadDBP,ReqCV,SRP_en,SRP_HR_Fill,HadBogus,Pref_Promotion,MiscCondition,Next Bubble,IDI_U2C_REQ,IDI_U2C_RSP,IDI_U2C_DATA,UXI_C2U_REQ,UXI_C2U_DATA,UXI_C2U_RSP,CPIPE_REQ,IDI_C2U_RSP,IDI_C2U_DATA,UXI_U2C_REQ,UXI_U2C_RSP,UXI_U2C_DATA
First Pass,1,1,Spec_ItoM,first,HOM,specitom,X,E/M,0,X,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,a,0,0,0,0,0,0,X,0,0,0,0,0
LLC Hit No Snoop,2,1,Spec_ItoM,a,X,specitom,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,done,0,GO(core_logic_id),0,0,0,0,X,0,0,0,0,0
First Pass,3,1,Spec_ItoM,first,HOM,specitom,X,I,X,X,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,read_mem,0,0,0,0,0,0,X,0,0,0,0,0
First Pass,4,1,Spec_ItoM,first,HOM,specitom,X,S,0,X,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,read_mem,0,0,0,0,0,0,X,0,0,0,0,0
LLC Miss,5,1,Spec_ItoM,read_mem,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,m,0,0,0,0,0,0,X,0,0,0,0,0
LLC Miss,6,1,Spec_ItoM,m,X,specitom,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,n ,0,0,0,InvItoE,0,0,E_CmpO,0,0,0,E_CmpO,0
LLC Miss,7,1,Spec_ItoM,n,X,E_CmpO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,done,0,GO(core_logic_id),0,0,0,0,X,0,0,0,0,0
First Pass,8,1,Spec_ItoM,first,HOM,specitom,X,S/E/M,>0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,b,0,0,0,0,0,0,X,0,0,0,0,0
First Pass,9,1,Spec_ItoM,first,HOM,specitom,X,X,X,X,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,b,0,0,0,0,0,0,X,0,0,0,0,0
Snoop,10,1,Spec_ItoM,b ,X,specitom,X,S/I,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,h,snoop(cv_vector),0,0,0,0,0,SNP_RSP,snoop_response(cv_vector),snoop_response_data(only_from_cv_vector),0,0,0
Snoop,11,1,Spec_ItoM,h,X,SNP_RSP,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,I,0,0,0,InvItoE,0,0,E_CmpO,0,0,0,E_CmpO,0
Snoop,12,1,Spec_ItoM,I,X,E_CmpO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,done,0,GO(core_logic_id),0,0,0,0,X,0,0,0,0,0
Snoop,13,1,Spec_ItoM,b ,X,specitom,!RspIFwdMO,E/M,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,c,snoop(cv_vector),0,0,0,0,0,SNP_RSP,snoop_response(cv_vector),0,0,0,0
Snoop,14,1,Spec_ItoM,c,X,SNP_RSP,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,done,0,GO(core_logic_id),0,0,0,0,X,0,0,0,0,0
Snoop,15,1,Spec_ItoM,b ,X,specitom,RspIFwdMO,E/M,X,X,X,X,1,X,X,X,X,X,X,X,X,X,X,X,X,X,d ,snoop(cv_vector),0,0,0,0,0,SNP_RSP,snoop_response(cv_vector),snoop_response_data(only_from_cv_vector),0,0,0
Snoop,16,1,Spec_ItoM,b ,X,specitom,RspIFwdMO,E/M,X,D,X,X,0,X,X,X,X,X,X,X,X,X,X,X,X,X,d ,snoop(cv_vector),0,0,0,0,0,SNP_RSP,snoop_response(cv_vector),snoop_response_data(only_from_cv_vector),0,0,0
Snoop,17,1,Spec_ItoM,b ,X,specitom,RspIFwdMO,E/M,X,SF,X,X,0,X,X,X,X,X,X,X,X,X,X,X,X,X,g,snoop(cv_vector),0,0,0,0,0,SNP_RSP,snoop_response(cv_vector),snoop_response_data(only_from_cv_vector),0,0,0
Snoop,18,1,Spec_ItoM,d,X,SNP_RSP,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,done,0,GO(core_logic_id),0,0,0,0,X,0,0,0,0,0
Evict,19,1,Spec_ItoM,g,X,SNP_RSP,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,done,0,GO(core_logic_id),0,0,WbMtoE,0,X,0,0,0,CmpU,0
