Inputs,1,2,3,4,5,7,8,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,24,27,28,Expected Interfaces,output from Cpipe,24,25,28,29,30,input to Cpipe,32,33,36,37,38
Flow Section,Row Number,Row Enable ,Flow ,Bubble,Sad,Curr Opcode,Snoop response,LLC State,CV,Map,MonHit,CN,AvailData,SelfSnoop,SnoopConflict,FwdCnfltO,FreeInvWay,HadReject,CleanEvict,DeadDBP,ReqCV,SRP_en,SRP_HR_Fill,HadBogus,Pref_Promotion,MiscCondition,Next Bubble,IDI_U2C_REQ,IDI_U2C_RSP,IDI_U2C_DATA,UXI_C2U_REQ,UXI_C2U_DATA,UXI_C2U_RSP,CPIPE_REQ,IDI_C2U_RSP,IDI_C2U_DATA,UXI_U2C_REQ,UXI_U2C_RSP,UXI_U2C_DATA
First Pass,1,1,Victim,first,X,Victim,X,E/M/S,>0,X,X,X,X,X,X,X,X,0,X,X,X,X,X,X,X,X,d ,0,0,0,0,0,0,X,0,0,0,0,0
Snoop,2,1,Victim,d,X,X,RspIHit.*/RspFlushed,E/S,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,EvctClnThrottle=1,e ,snoop(cv_vector),0,0,0,0,0,SNP_RSP,snoop_response(cv_vector),0,0,0,0
Snoop,3,1,Victim,d,X,X,RspIFwdFE,E/S,X,X,X,X,X,X,X,X,X,X,0,X,X,X,X,X,X,EvctClnThrottle=1,e ,snoop(cv_vector),0,0,0,0,0,SNP_RSP,snoop_response(cv_vector),0,0,0,0
Snoop,4,1,Victim,d,X,X,RspIHit.*/RspFlushed,E/S,X,X,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,e ,snoop(cv_vector),0,0,0,0,0,SNP_RSP,snoop_response(cv_vector),0,0,0,0
Snoop,5,1,Victim,d,X,X,RspIFwdFE,E/S,X,X,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,e ,snoop(cv_vector),0,0,0,0,0,SNP_RSP,snoop_response(cv_vector),0,0,0,0
Snoop,6,1,Victim,e,X,SNP_RSP,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,done,0,0,0,0,0,0,X,0,0,0,0,0
Snoop,7,1,Victim,d,X,X,RspIFwdMO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,g,snoop(cv_vector),0,0,0,0,0,SNP_RSP,snoop_response(cv_vector),snoop_response_data(only_from_cv_vector),0,0,0
Snoop,8,1,Victim,d,X,X,!RspIFwdMO,M,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,g,snoop(cv_vector),0,0,0,0,0,SNP_RSP,snoop_response(cv_vector),0,0,0,0
Snoop,9,1,Victim,g,X,SNP_RSP,X,X,X,X,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,done,0,0,0,0,WbMtoI,0,X,0,0,0,CmpU,0
