Inputs,1,2,3,4,5,7,8,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,24,27,28,Expected Interfaces,output from Cpipe,24,25,28,29,30,input to Cpipe,32,33,36,37,38
Flow Section,Row Number,Row Enable ,Flow ,Bubble,Sad,Curr Opcode,Snoop response,LLC State,CV,Map,MonHit,CN,AvailData,SelfSnoop,SnoopConflict,FwdCnfltO,FreeInvWay,HadReject,CleanEvict,DeadDBP,ReqCV,SRP_en,SRP_HR_Fill,HadBogus,Pref_Promotion,MiscCondition,Next Bubble,IDI_U2C_REQ,IDI_U2C_RSP,IDI_U2C_DATA,UXI_C2U_REQ,UXI_C2U_DATA,UXI_C2U_RSP,CPIPE_REQ,IDI_C2U_RSP,IDI_C2U_DATA,UXI_U2C_REQ,UXI_U2C_RSP,UXI_U2C_DATA
First Pass,1,1,WciL/WciL_NS,first ,HOM,WciL/WciL_NS,X,LLC_M,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,a,0,0,0,0,0,0,X,0,0,0,0,0
First Pass,2,1,WciL/WciL_NS,first ,HOM,WciL/WciL_NS,X,X,>0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,a,0,0,0,0,0,0,X,0,0,0,0,0
First Pass,3,1,WciL/WciL_NS,first ,HOM,WciL/WciL_NS,X,X,X,X,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,a,0,0,0,0,0,0,X,0,0,0,0,0
First Pass,4,1,WciL/WciL_NS,first ,HOM,WciL/WciL_NS,X,LLC_I,X,X,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,write_mem,0,0,0,0,0,0,X,0,0,0,0,0
First Pass,5,1,WciL/WciL_NS,first ,HOM,WciL/WciL_NS,X,E/S,0,X,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,write_mem,0,0,0,0,0,0,X,0,0,0,0,0
Snoop needed - ownership modified data,6,1,WciL/WciL_NS,a,HOM,X,!RspIFwdMO,LLC_M,>0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,h,snoop(cv_vector),0,0,0,0,0,SNP_RSP/RspILLCM,snoop_response(cv_vector),0,0,0,0
Snoop needed - ownership modified data,7,1,WciL/WciL_NS,a,HOM,X,!RspIFwdMO,LLC_M,0,X,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,h,snoop(cv_vector),0,0,0,0,0,SNP_RSP/RspILLCM,snoop_response(cv_vector),0,0,0,0
Snoop needed - ownership modified data,8,1,WciL/WciL_NS,a,HOM,X,X,LLC_M,0,X,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,h,0,0,0,0,0,0,FakeCycle,0,0,0,0,0
Snoop needed - ownership modified data,9,1,WciL/WciL_NS,a,HOM,X,RspIFwdMO,X,>0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,h,snoop(cv_vector),0,0,0,0,0,SNP_RSP,snoop_response(cv_vector),snoop_response_data(only_from_cv_vector),0,0,0
