Inputs,1,2,3,4,5,7,8,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,24,27,28,Expected Interfaces,output from Cpipe,24,25,28,29,30,input to Cpipe,32,33,36,37,38
Flow Section,Row Number,Row Enable ,Flow ,Bubble,Sad,Curr Opcode,Snoop response,LLC State,CV,Map,MonHit,CN,AvailData,SelfSnoop,SnoopConflict,FwdCnfltO,FreeInvWay,HadReject,CleanEvict,DeadDBP,ReqCV,SRP_en,SRP_HR_Fill,HadBogus,Pref_Promotion,MiscCondition,Next Bubble,IDI_U2C_REQ,IDI_U2C_RSP,IDI_U2C_DATA,UXI_C2U_REQ,UXI_C2U_DATA,UXI_C2U_RSP,CPIPE_REQ,IDI_C2U_RSP,IDI_C2U_DATA,UXI_U2C_REQ,UXI_U2C_RSP,UXI_U2C_DATA
First Pass,1,1,WCiLF/WCiLF_NS/ItoMWr_WT/ItoMWr_WT_NS,first ,HOM,WCiLF/WCiLF_NS/ItoMWr_WT/ItoMWr_WT_NS,X,LLC_I,X,X,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,write_mem,0,0,0,0,0,0,X,0,0,0,0,0
First Pass,2,1,WCiLF/WCiLF_NS/ItoMWr_WT/ItoMWr_WT_NS,first ,HOM,WCiLF/WCiLF_NS/ItoMWr_WT/ItoMWr_WT_NS,X,M/E/S,0,X,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,write_mem,0,0,0,0,0,0,X,0,0,0,0,0
UPI,4,1,WCiLF/WCiLF_NS/ItoMWr_WT/ItoMWr_WT_NS,write_mem,HOM,WciLF/WciLF_NS/ItoMWr_WT/ItoMWr_WT_NS/SNP_RSP ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,l,0,0,0,0,0,0,X,0,0,0,0,0
UPI,5,1,WCiLF/WCiLF_NS/ItoMWr_WT/ItoMWr_WT_NS,l,HOM,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,o,0,FAST_GO_WRITEPULL(core_logic_id),0,InvItoM,0,0,E_CmpO/M_CmpO,0,data(core_logic_id),0,E_CmpO/M_CmpO,0
UPI,6,1,WCiLF/WCiLF_NS/ItoMWr_WT/ItoMWr_WT_NS,o,HOM,E_CmpO/M_CmpO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,p,0,0,0,0,WbMtoI,0,CmpU,0,0,0,CmpU,0
UPI,7,1,WCiLF/WCiLF_NS/ItoMWr_WT/ItoMWr_WT_NS,p,HOM,CmpU,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,Done ,0,ExtCmp(core_logic_id),0,0,0,0,X,0,0,0,0,0
First Pass,8,1,WCiLF/WCiLF_NS/ItoMWr_WT/ItoMWr_WT_NS,first ,HOM,WCiLF/WCiLF_NS/ItoMWr_WT/ItoMWr_WT_NS,X,X,>0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,a,0,0,0,0,0,0,X,0,0,0,0,0
First Pass,9,1,WCiLF/WCiLF_NS/ItoMWr_WT/ItoMWr_WT_NS,first ,HOM,WCiLF/WCiLF_NS/ItoMWr_WT/ItoMWr_WT_NS,X,X,X,X,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,a,0,0,0,0,0,0,X,0,0,0,0,0
Snoop,10,1,WCiLF/WCiLF_NS/ItoMWr_WT/ItoMWr_WT_NS,a,HOM,X,X,I/S,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,write_mem,snoop(cv_vector),0,0,0,0,0,SNP_RSP,snoop_response(cv_vector),snoop_response_data(only_from_cv_vector),0,0,0
Snoop,12,1,WCiLF/WCiLF_NS/ItoMWr_WT/ItoMWr_WT_NS,a,HOM,X,X,M/E,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,e,snoop(cv_vector),0,0,0,0,0,SNP_RSP,snoop_response(cv_vector),snoop_response_data(only_from_cv_vector),0,0,0
Snoop,13,1,WCiLF/WCiLF_NS/ItoMWr_WT/ItoMWr_WT_NS,e,HOM,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,f,0,FAST_GO_WRITEPULL(core_logic_id),0,0,0,0,No_Rsp,0,data(core_logic_id),0,0,0
Snoop,14,1,WCiLF/WCiLF_NS/ItoMWr_WT/ItoMWr_WT_NS,f,HOM,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,g,0,0,0,0,WbMtoI,0,CmpU,0,0,0,CmpU,0
Snoop,15,1,WCiLF/WCiLF_NS/ItoMWr_WT/ItoMWr_WT_NS,g,HOM,CmpU,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,Done,0,ExtCmp(core_logic_id),0,0,0,0,X,0,0,0,0,0
