Inputs,1,2,3,4,5,7,8,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,Expected Interfaces,output from Cpipe,29,30,33,34,35,input to Cpipe,37,38,41,42,43
Flow Section,Row Number,Row Enable ,Flow ,Bubble,Sad,Curr Opcode,Snoop response,LLC State,CV,Map,MonHit,CN,AvailData,SelfSnoop,SnoopConflict,FwdCnfltO,FreeInvWay,HadReject,CleanEvict,DeadDBP,ReqCV,SRP_en,SRP_HR_Fill,HadBogus,Pref_Promotion,MiscCondition,Next Bubble,IDI_U2C_REQ,IDI_U2C_RSP,IDI_U2C_DATA,UXI_C2U_REQ,UXI_C2U_DATA,UXI_C2U_RSP,CPIPE_REQ,IDI_C2U_RSP,IDI_C2U_DATA,UXI_U2C_REQ,UXI_U2C_RSP,UXI_U2C_DATA
First Pass,1,1,WbStoI,first,HOM,WbStoI,X,E/S,0,SF,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,EvctClnThrottle=0,a,0,0,0,0,0,0,X,0,0,0,0,0
First Pass,2,1,WbStoI,first,HOM,WbStoI,X,I/M,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,b,0,0,0,0,0,0,X,0,0,0,0,0
First Pass,3,1,WbStoI,first,HOM,WbStoI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,EvctClnThrottle=1,b,0,0,0,0,0,0,X,0,0,0,0,0
First Pass,4,1,WbStoI,first,HOM,WbStoI,X,X,X,X,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,b,0,0,0,0,0,0,X,0,0,0,0,0
First Pass,5,1,WbStoI,first,HOM,WbStoI,X,X,>0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,b,0,0,0,0,0,0,X,0,0,0,0,0
First Pass,6,1,WbStoI,first,HOM,WbStoI,X,X,0,D,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,b,0,0,0,0,0,0,X,0,0,0,0,0
Done,7,1,WbStoI,b,HOM,WbStoI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,done,0,GO(core_logic_id),0,0,0,0,X,0,0,0,0,0
Done,8,1,WbStoI,a,HOM,WbStoI,X,E,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,done,0,GO(core_logic_id),0,EvctCln,0,0,X,0,0,0,CmpU,0
Done,9,1,WbStoI,a,HOM,WbStoI,X,S,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,done,0,GO(core_logic_id),0,EvctShrd,0,0,X,0,0,0,CmpU,0
