Inputs,1,2,3,4,5,7,8,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,24,27,28,Expected Interfaces,output from Cpipe,24,25,28,29,30,input to Cpipe,32,33,36,37,38
Flow Section,Row Number,Row Enable ,Flow ,Bubble,Sad,Curr Opcode,Snoop response,LLC State,CV,Map,MonHit,CN,AvailData,SelfSnoop,SnoopConflict,FwdCnfltO,FreeInvWay,HadReject,CleanEvict,DeadDBP,ReqCV,SRP_en,SRP_HR_Fill,HadBogus,Pref_Promotion,MiscCondition,Next Bubble,IDI_U2C_REQ,IDI_U2C_RSP,IDI_U2C_DATA,UXI_C2U_REQ,UXI_C2U_DATA,UXI_C2U_RSP,CPIPE_REQ,IDI_C2U_RSP,IDI_C2U_DATA,UXI_U2C_REQ,UXI_U2C_RSP,UXI_U2C_DATA
First Pass,1,1,WiLF,first ,HOM,WiLF,X,X,>0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,a,0,0,0,0,0,0,X,0,0,0,0,0
First Pass,2,1,WiLF,first ,HOM,WiLF,X,X,X,X,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,a,0,0,0,0,0,0,X,0,0,0,0,0
Snoop needed - Ownership,3,1,WiLF,a,HOM,X,RspIFwd.*,E/M,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,e,snoop(cv_vector),0,0,0,0,0,SNP_RSP,snoop_response(cv_vector),snoop_response_data(only_from_cv_vector),0,0,0
Snoop needed - Ownership,4,1,WiLF,a,HOM,X,!RspIFwd.*,E/M,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,e,snoop(cv_vector),0,0,0,0,0,SNP_RSP,snoop_response(cv_vector),0,0,0,0
Snoop needed - Ownership,5,1,WiLF,e,HOM,SNP_RSP,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,f,0,WRITEPULL(core_logic_id),0,0,0,0,NO_RSP,0,data(core_logic_id),0,0,0
Snoop needed - Ownership,6,1,WiLF,f,HOM,NO_RSP,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,g,0,0,0,0,WbMtoI,0,CmpU,0,0,0,CmpU,0
Snoop needed - Ownership,7,1,WiLF,g,HOM,CmpU,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,Done,0,GO(core_logic_id),0,0,0,0,X,0,0,0,0,0
snoop needed - No Ownership,8,1,WiLF,a,HOM,X,X,I/S,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,write_memory,snoop(cv_vector),0,0,0,0,0,SNP_RSP,snoop_response(cv_vector),0,0,0,0
Snoop not needed,9,1,WiLF,first ,HOM,WiLF,X,LLC_I,X,X,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,write_memory,0,0,0,0,0,0,X,0,0,0,0,0
Snoop not needed,10,1,WiLF,first ,HOM,WiLF,X,M/E/S,0,X,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,write_memory,0,0,0,0,0,0,X,0,0,0,0,0
Write To Memory,11,1,WiLF,write_memory,HOM,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,o,0,0,0,0,0,0,X,0,0,0,0,0
Write To Memory,12,1,WiLF,o,HOM,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,q,0,WRITEPULL(core_logic_id),0,InvItoM,0,0,E_CmpO/M_CmpO,0,data(core_logic_id),0,E_CmpO/M_CmpO,0
Write To Memory,13,1,WiLF,q,HOM,E_CmpO/M_CmpO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,r,0,0,0,0,WbMtoI,0,CmpU,0,0,0,CmpU,0
Write To Memory,14,1,WiLF,r,HOM,CmpU,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,Done ,0,GO(core_logic_id),0,0,0,0,X,0,0,0,0,0
